tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
,c46,0/5,https://place.map.kakao.com/21542994#comment,,,서울 마포구 양화로 192 지하1층 (우)04056,만화카페킥킥나무,c,만화방
"지금까지 커피만 즐길 수 있던 카페와는 다른 만화책도 보고, 맛있는 간식도 있는 차원이 다른 문화카페
만화/소설/잡지/웹툰 등 12,000여 권의 다양한 도서 구비
신개념 데이트 공간 / 이색 데이트 공간 / 조용한 학습 분위기
놀숲만의 문화를 경험해 보세요.

월요일부터부터 목요일, 일요일은 10시부터 24시까지 영업합니다.
* 금요일과 토요일은 10시부터 새벽 2시까지 영업합니다.",c47,0/5,https://place.map.kakao.com/1541287896#comment,"월,화,수,목,일 10:00 ~ 24:00
더보기",,서울 강남구 압구정로28길 22-6 원산빌딩 지하1층 (우)06030,놀숲 압구정역점,c,만화방
,c48,0/5,https://place.map.kakao.com/1595120352#comment,,,서울 광진구 아차산로 208 지하1층 (우)05072,코믹갤러리,c,만화방
,c49,0/5,https://place.map.kakao.com/864693294#comment,,,서울 서대문구 연세로5가길 8-3 (우)03789,벌툰 신촌점,c,만화방
,c60,0/5,https://place.map.kakao.com/584447017#comment,,,서울 강서구 강서로52길 16 2층 (우)07646,통툰 발산점,c,만화방
,c612,0/5,https://place.map.kakao.com/24767841#comment,,,서울 용산구 한강대로 385 (우)04320,제일만화방,c,만화방
,c613,0/5,https://place.map.kakao.com/59191738#comment,매일 00:00 ~ 24:00,,서울 동작구 사당로 4 3층 (우)07027,쉼표 숭실대점,c,만화방
,c62,0/5,https://place.map.kakao.com/1191103356#comment,,,서울 양천구 오목로 324 지하1층 (우)08005,통툰 오목교점,c,만화방
,c63,0/5,https://place.map.kakao.com/27456228#comment,"매일 10:00 ~ 02:00
더보기",,서울 중랑구 용마산로 391 2층 (우)02201,놀숲 서일대점,c,만화방
,c64,0/5,https://place.map.kakao.com/1408979104#comment,,,서울 송파구 백제고분로7길 8 태광빌딩 (우)05561,달빛정거장,c,만화방
,c66,0/5,https://place.map.kakao.com/445951431#comment,매일 00:00 ~ 24:00,,서울 성동구 천호대로 312 태광빌딩 3층 (우)04805,몬스터만화카페,c,만화방
,c68,0/5,https://place.map.kakao.com/26873982#comment,,,서울 노원구 노해로83길 21 화용빌딩3층 (우)01695,24시만화방 노원점,c,만화방
,c69,0/5,https://place.map.kakao.com/26470389#comment,"매일 00:00 ~ 24:00
더보기",,서울 강서구 강서로 188 삼화빌딩 지하1층 (우)07702,만화산책,c,만화방
,c70,0/5,https://place.map.kakao.com/2093644686#comment,"월,화,수,목,일 10:00 ~ 06:00
더보기",,서울 광진구 동일로22길 64 2층 (우)05019,커피인더카툰 건대점,c,만화방
"만화카페, 책대여점",c71,0/5,https://place.map.kakao.com/17079426#comment,,,서울 노원구 공릉로 195 지하1층 (우)01834,공자왈맹자왈,c,만화방
만화 카페,c710,0/5,https://place.map.kakao.com/26792574#comment,매일 10:00 ~ 01:00,,서울 동대문구 이문로 98 (우)02440,만화박물관,c,만화방
만화 대본 및 대여,c711,0/5,https://place.map.kakao.com/17809664#comment,,,서울 관악구 봉천로 474 3층 (우)08758,만화채널만화방,c,만화방
,c712,0/5,https://place.map.kakao.com/24691265#comment,,,서울 광진구 자양로18길 79 (우)05042,만화카페,c,만화방
